FIPS,GEOID,Rent00,Rent10,Rent15,Rent_ch00_10,Rent_ch10_15,Pop00,Pop10,Pop15,Pop_Ch00_10,Pop_Ch10_15,medinc_00,medinc_10,medinc_15,inc_ch00_10,inc_ch10_15,renter_00,renter_10,renter_15,renter00_10,renter10_15,own_0010,own_1015,coc_00,coc_10,coc_15,coc00_10,coc10_15,lowinc_00,lowinc_10,lowinc_15,lowinc_ch00_10,lowinc_ch10_15,af_00,per_af_00,af_10,per_af_10,af_15,per_af_15,af_ch_00_10,af_ch_10_15,MHV_00,MHV_10,MHV_15,App90_00,App00_10,App10_15,App90_10,App00_15,R_MHV00,R_MHV10,R_MHV15,NH,ZRI10,ZRI15,MHSP_2000,MHSP_2010,MHSP_2015,MHSP00_10,MHSP10_15
41051000100,41051000100,681,920,1069,0.351,0.162,5211,6043,6037,0.16,-0.001,43785,51981,61046,0.187,0.174,0.43,0.501,0.428,0.071,-0.073,-7.13,0.073,0.097,0.099,0.124,0.002,0.025,0.387,0.369,0.264,-0.018,-0.105,1067,0.495,1105,0.512,1025,0.425,0.036,-0.072,172300,362600,367000,1.252015422,1.243646222,0.012134584,1.10446895,1.130005804,1.112330536,1.241780822,1.243646222,Sellwood-Moreland,1420,2082,206227.981,332869.9429,494209.2193,0.614087193,0.484691634
41051000200,41051000200,511,644,709,0.26,0.101,5603,6052,6418,0.08,0.06,34163,47966,60857,0.404,0.269,0.549,0.525,0.511,-0.024,-0.014,2.34,0.014,0.101,0.171,0.177,0.07,0.006,0.524,0.542,0.376,0.019,-0.166,1594,0.607,1275,0.499,1450,0.523,-0.2,0.137,170500,351100,404900,1.276901507,1.372077262,0.153232697,1.059237537,1.374780059,1.100710136,1.20239726,1.372077262,Sellwood-Moreland,1420,2082,170084.0674,344805.3827,468157.8584,1.027264446,0.357745215
41051000301,41051000301,651,817,984,0.255,0.204,4595,4818,5666,0.049,0.176,34735,38036,41389,0.095,0.088,0.596,0.64,0.648,0.044,0.007,-4.39,-0.008,0.151,0.226,0.192,0.075,-0.034,0.496,0.594,0.458,0.097,-0.136,1284,0.742,1250,0.731,930,0.504,-0.026,-0.256,169500,359900,346400,1.208201893,1.173839376,-0.03751042,1.123303835,1.043657817,1.094254358,1.232534247,1.173839376,Eastmoreland,2012,3038,178254.6724,320521.6216,443108.5833,0.798110632,0.382460818
41051000302,41051000302,965,1203,1582,0.247,0.315,6653,6856,6964,0.031,0.016,62417,95899,101627,0.536,0.06,0.107,0.089,0.097,-0.018,0.007,1.81,-0.008,0.068,0.074,0.095,0.006,0.022,0.25,0.214,0.219,-0.036,0.005,303,0.158,260,0.14,200,0.099,-0.142,-0.231,242800,427300,457400,1.484752892,1.549983057,0.070442312,0.759884679,0.883855025,1.567462879,1.463356164,1.549983057,Eastmoreland,2012,3038,251661.6957,455929.2391,579600.0284,0.811675146,0.271249963
41051000401,41051000401,744,981,1262,0.319,0.286,3223,3110,3814,-0.035,0.226,42933,61750,71083,0.438,0.151,0.254,0.291,0.254,0.037,-0.037,-3.74,0.037,0.132,0.134,0.108,0.002,-0.027,0.407,0.395,0.271,-0.012,-0.124,544,0.488,395,0.333,350,0.262,-0.274,-0.114,137500,271600,291600,0.971959341,0.988139614,0.073637703,0.975272727,1.120727273,0.887669464,0.930136986,0.988139614,Woodstock,1243,1810,130704.5455,265811.2308,400245.5672,1.033680082,0.505751153
41051000402,41051000402,663,962,1129,0.451,0.174,3427,3335,3155,-0.027,-0.054,38210,49390,63424,0.293,0.284,0.303,0.306,0.243,0.003,-0.063,-0.32,0.063,0.16,0.246,0.164,0.085,-0.082,0.496,0.459,0.368,-0.037,-0.091,761,0.653,615,0.504,545,0.414,-0.192,-0.114,125600,223500,236600,0.790746583,0.801762115,0.058612975,0.779458599,0.883757962,0.810845707,0.765410959,0.801762115,Woodstock,1243,1810,127049.6301,215018.5106,361626.9167,0.692397769,0.681840859
41051000501,41051000501,671,1033,1037,0.539,0.004,3667,3666,3835,0,0.046,39621,53173,51851,0.342,-0.025,0.378,0.346,0.411,-0.032,0.065,3.23,-0.065,0.196,0.202,0.238,0.006,0.036,0.455,0.468,0.419,0.013,-0.048,907,0.737,740,0.552,580,0.444,-0.184,-0.216,117900,222300,230900,0.76340694,0.782446628,0.03868646,0.885496183,0.958439355,0.761136217,0.76130137,0.782446628,Mount Scott,1175,1556,111272.7778,207453.7736,310444.0909,0.864371302,0.496449477
41051000502,41051000502,634,737,1013,0.162,0.374,4297,3970,4825,-0.076,0.215,33207,45238,45280,0.362,0.001,0.465,0.43,0.543,-0.035,0.113,3.56,-0.113,0.218,0.254,0.281,0.036,0.026,0.591,0.575,0.417,-0.015,-0.158,1057,0.731,1000,0.662,900,0.533,-0.054,-0.1,124900,225800,226000,0.773922187,0.765842087,0.00088574,0.807846277,0.809447558,0.806326662,0.773287671,0.765842087,Mount Scott,1175,1556,121426.9841,195286,262366.4455,0.60825867,0.343498487
41051000601,41051000601,710,858,1089,0.208,0.269,4936,5198,5664,0.053,0.09,36810,42930,45307,0.166,0.055,0.363,0.363,0.466,0,0.102,-0.04,-0.103,0.268,0.402,0.448,0.135,0.046,0.549,0.58,0.499,0.03,-0.081,1157,0.771,1195,0.731,1204,0.694,0.033,0.008,114100,178600,170600,0.581142657,0.578109116,-0.044792833,0.565293602,0.495179667,0.736604261,0.611643836,0.578109116,Lents,1143,1464,114556.1818,146596.5385,219201.7708,0.279691206,0.495272488
41051000602,41051000602,656,898,952,0.369,0.06,4759,5309,5942,0.116,0.119,36518,40979,40295,0.122,-0.017,0.383,0.445,0.353,0.062,-0.092,-6.15,0.092,0.265,0.367,0.488,0.103,0.12,0.552,0.634,0.574,0.083,-0.06,1073,0.753,1170,0.788,1180,0.724,0.09,0.009,114500,177100,171300,0.590606379,0.580481193,-0.032749859,0.546724891,0.496069869,0.739186572,0.606506849,0.580481193,Lents,1143,1464,113910.7143,144332.2167,207211.64,0.267064451,0.435657574
